Number of Favorites,Count,neg,neu,pos,compound,roberta_neg,roberta_neu,roberta_pos
0-999,6130,0.024078303,0.862166721,0.113752365,0.305747325,0.086531658,0.494856408,0.418611934
1000-1999,1012,0.027728261,0.854275692,0.117996047,0.316508893,0.106832455,0.454153064,0.439014481
2000-2999,402,0.023318408,0.86100995,0.115674129,0.317737065,0.117749358,0.465899307,0.416351334
3000-3999,291,0.03028866,0.859718213,0.109989691,0.294202405,0.110071541,0.429006344,0.460922114
4000-4999,275,0.032785455,0.853792727,0.113425455,0.270855273,0.131381558,0.445960691,0.422657752
5000-5999,229,0.0229869,0.874152838,0.102864629,0.295841485,0.108720562,0.524530679,0.366748756
6000-6999,108,0.028564815,0.847981481,0.123435185,0.298147222,0.169546464,0.425173315,0.405280221
7000-8999,99,0.037040404,0.859252525,0.103707071,0.221973737,0.210231097,0.420834491,0.368934416
8000-8999,101,0.025564356,0.837158416,0.13729703,0.388360396,0.132491505,0.410770221,0.456738272
9000-9999,102,0.046745098,0.8455,0.10777451,0.243422549,0.173094158,0.493288404,0.333617444
more than 10000,1251,0.046491607,0.843427658,0.110065548,0.204456115,0.24300324,0.417040996,0.339955763
