Number of Favorites,Count,roberta_neg,roberta_neu,roberta_pos,neg,neu,pos,compound
0-999,6130,0.088726759,0.618157573,0.293115668,0.034393801,0.795481566,0.170122675,0.336184568
1000-1999,1012,0.098548249,0.574891307,0.326560444,0.039978261,0.78466996,0.175352767,0.344288142
2000-2999,402,0.099226645,0.603682762,0.297090595,0.035330846,0.792487562,0.172176617,0.334162189
3000-3999,291,0.103433576,0.580313698,0.316252727,0.040670103,0.795044674,0.164254296,0.323943986
4000-4999,275,0.119433284,0.550678545,0.329888168,0.048385455,0.775363636,0.176254545,0.313912364
5000-5999,229,0.09549443,0.626541798,0.277963772,0.031187773,0.820462882,0.148375546,0.312104803
6000-6999,108,0.146866906,0.567532998,0.285600091,0.042916667,0.794583333,0.162490741,0.277802778
7000-8999,99,0.174105275,0.584020598,0.241874131,0.054545455,0.781878788,0.163575758,0.281819192
8000-8999,101,0.122552584,0.53734469,0.340102722,0.027584158,0.773435644,0.199,0.427867327
9000-9999,102,0.146101752,0.601694244,0.252204,0.065205882,0.784627451,0.150117647,0.24547549
more than 10000,1251,0.196373391,0.554589725,0.249036887,0.068032774,0.774613909,0.157370104,0.213788169
